date,date,date,date,date,date,OT
8.28044,8.86645,34.36193,3453.27304,0.45363,62.67218,54.999999061801
8.30153,8.90807,34.40736,3443.24448,0.5522,63.08469,54.999999061801
8.32226,8.94971,34.46136,3433.31713,0.6472,63.49324,54.999999061801
8.34265,8.99138,34.52357,3423.50129,0.73832,63.89741,54.999999061801
8.36268,9.03308,34.59357,3413.80633,0.82532,64.29681,54.999999061801
8.38237,9.0748,34.67094,3404.24061,0.90795,64.6911,54.999999061801
8.40173,9.11654,34.75525,3394.81157,0.98601,65.07998,54.999999061801
8.42075,9.1583,34.84605,3385.52568,1.05931,65.46319,54.999999061801
8.43945,9.20007,34.94287,3376.38845,1.12772,65.84049,54.999999061801
8.45783,9.24185,35.04525,3367.40451,1.19111,66.21169,54.999999061801
8.47589,9.28364,35.15271,3358.57759,1.24937,66.57665,54.999999061801
8.49364,9.32543,35.26478,3349.91061,1.30245,66.93524,54.999999061801
8.5111,9.36723,35.38098,3341.40569,1.35028,67.28739,54.999999061801
8.52825,9.40903,35.50084,3333.06418,1.39284,67.63303,54.999999061801
8.54512,9.45083,35.62388,3324.8868,1.43014,67.97216,54.999999061801
8.5617,9.49262,35.74963,3316.87357,1.46217,68.30476,54.999999061801
8.57801,9.53441,35.87763,3309.02398,1.48899,68.63088,54.999999061801
8.59404,9.5762,36.00743,3301.33695,1.51063,68.95056,54.999999061801
8.60981,9.61798,36.13858,3293.81094,1.52716,69.26389,54.999999061801
8.62532,9.65975,36.27063,3286.44397,1.53865,69.57096,54.999999061801
8.64057,9.70152,36.40317,3279.23371,1.54521,69.87188,54.999999061801
8.65558,9.74327,36.53578,3272.17745,1.54692,70.16677,54.999999061801
8.67035,9.78501,36.66804,3265.27221,1.5439,70.45579,54.999999061801
8.68487,9.82674,36.79958,3258.51477,1.53626,70.73907,54.999999061801
8.69917,9.86845,36.93,3251.90168,1.52414,71.01679,54.999999061801
8.71324,9.91015,37.05894,3245.42931,1.50765,71.28912,54.999999061801
8.72709,9.95184,37.18605,3239.09387,1.48693,71.55623,54.999999061801
8.74072,9.99351,37.31098,3232.89149,1.46213,71.8183,54.999999061801
8.75414,10.03516,37.43341,3226.81815,1.43338,72.07554,54.999999061801
8.76735,10.0768,37.55303,3220.86979,1.40083,72.32812,54.999999061801
8.78036,10.11842,37.66953,3215.04228,1.36462,72.57625,54.999999061801
8.79316,10.16003,37.78264,3209.33147,1.32491,72.82012,54.999999061801
8.80578,10.20162,37.89206,3203.73316,1.28183,73.05993,54.999999061801
8.8182,10.24318,37.99756,3198.24318,1.23554,73.29587,54.999999061801
8.83043,10.28474,38.09887,3192.85732,1.18618,73.52816,54.999999061801
8.84247,10.32627,38.19577,3187.5714,1.1339,73.75699,54.999999061801
8.85433,10.36778,38.28803,3182.38125,1.07884,73.98255,54.999999061801
8.86602,10.40928,38.37546,3177.28274,1.02115,74.20504,54.999999061801
8.87752,10.45075,38.45784,3172.27174,0.96098,74.42466,54.999999061801
8.88886,10.49221,38.53501,3167.34417,0.89846,74.6416,54.999999061801
8.90002,10.53364,38.60678,3162.49596,0.83374,74.85606,54.999999061801
8.91101,10.57506,38.67301,3157.72309,0.76696,75.06822,54.999999061801
8.92184,10.61646,38.73354,3153.02157,0.69825,75.27828,54.999999061801
8.9325,10.65783,38.78824,3148.38742,0.62775,75.48642,54.999999061801
8.943,10.69919,38.83698,3143.81671,0.55559,75.69284,54.999999061801
8.95333,10.74052,38.87966,3139.30553,0.48192,75.8977,54.999999061801
8.96351,10.78184,38.91617,3134.84999,0.40686,76.10121,54.999999061801
8.97352,10.82313,38.94641,3130.44622,0.33054,76.30354,54.999999061801
8.98338,10.86441,38.97032,3126.09036,0.25309,76.50486,54.999999061801
8.99309,10.90566,38.98782,3121.77858,0.17465,76.70537,54.999999061801
9.00263,10.94689,38.99885,3117.50703,0.09534,76.90524,54.999999061801
9.01203,10.9881,39.00337,3113.27189,0.01529,77.10465,54.999999061801
9.02127,11.02928,39.00133,3109.06932,-0.06538,77.30377,54.999999061801
9.03035,11.07045,38.99271,3104.89549,-0.14654,77.50279,54.999999061801
9.03928,11.11159,38.9775,3100.74653,-0.22806,77.70188,54.999999061801
9.04806,11.15271,38.95569,3096.61859,-0.30981,77.90122,54.999999061801
9.05669,11.1938,38.92727,3092.50777,-0.39167,78.101,54.999999061801
9.06516,11.23488,38.89227,3088.41014,-0.47352,78.30138,54.999999061801
9.07348,11.27593,38.85071,3084.32177,-0.55523,78.50256,54.999999061801
9.08164,11.31695,38.80262,3080.23867,-0.63667,78.7047,54.999999061801
9.08966,11.35795,38.74805,3076.15681,-0.71771,78.908,54.999999061801
9.09751,11.39892,38.68705,3072.07212,-0.79822,79.11264,54.999999061801
9.10521,11.43987,38.61968,3067.98048,-0.87809,79.31881,54.999999061801
9.11276,11.48079,38.54602,3063.87773,-0.95717,79.52668,54.999999061801
9.12015,11.52169,38.46616,3059.75962,-1.03533,79.73647,54.999999061801
9.12738,11.56256,38.3802,3055.62188,-1.11246,79.94835,54.999999061801
9.13445,11.6034,38.28823,3051.46015,-1.1884,80.16252,54.999999061801
9.14136,11.64421,38.19038,3047.27003,-1.26303,80.37917,54.999999061801
9.1481,11.68499,38.08677,3043.04704,-1.33622,80.59852,54.999999061801
9.15468,11.72574,37.97754,3038.78664,-1.40782,80.82076,54.999999061801
9.1611,11.76646,37.86284,3034.48424,-1.4777,81.04609,54.999999061801
9.16735,11.80714,37.74284,3030.13516,-1.54571,81.27473,54.999999061801
9.17342,11.8478,37.61769,3025.73468,-1.61172,81.50688,54.999999061801
9.17933,11.88842,37.48759,3021.27802,-1.67559,81.74275,54.999999061801
9.18505,11.929,37.35273,3016.76035,-1.73717,81.98257,54.999999061801
9.1906,11.96954,37.2133,3012.1768,-1.79632,82.22654,54.999999061801
9.19598,12.01005,37.06954,3007.52243,-1.8529,82.47489,54.999999061801
9.20116,12.05052,36.92165,3002.79232,-1.90676,82.72784,54.999999061801
9.20616,12.09095,36.76988,2997.9815,-1.95775,82.9856,54.999999061801
9.21098,12.13133,36.61448,2993.08499,-2.00574,83.24839,54.999999061801
9.2156,12.17167,36.4557,2988.09784,-2.05058,83.51644,54.999999061801
9.22002,12.21197,36.29381,2983.0151,-2.09212,83.78997,54.999999061801
9.22425,12.25222,36.1291,2977.83188,-2.13024,84.06919,54.999999061801
9.22827,12.29241,35.96184,2972.54335,-2.16478,84.35432,54.999999061801
9.23209,12.33256,35.79235,2967.14476,-2.19562,84.64557,54.999999061801
9.23569,12.37265,35.62092,2961.63146,-2.22262,84.94316,54.999999061801
9.23908,12.41269,35.44788,2955.99895,-2.24566,85.24727,54.999999061801
9.24226,12.45267,35.27354,2950.24287,-2.26461,85.5581,54.999999061801
9.24521,12.49258,35.09826,2944.35908,-2.27937,85.87585,54.999999061801
9.24793,12.53244,34.92235,2938.34365,-2.28983,86.20068,54.999999061801
9.25043,12.57222,34.74617,2932.1929,-2.29588,86.53277,54.999999061801
